Hardware allocated: cuda
STATERA PoC Temporal Tracking Training Started...
Epoch[2/50] | Train Batch[50/334] | Time (10 batches): 69.05s | Loss: 10.2113 (wH: 7.6311, wZ: 1.9546, wM: 23.8467)
Epoch[2/50] | Train Batch[60/334] | Time (10 batches): 69.04s | Loss: 9.8664 (wH: 7.6377, wZ: 4.3453, wM: 17.9422)
Epoch[2/50] | Train Batch[70/334] | Time (10 batches): 69.04s | Loss: 9.9939 (wH: 7.2995, wZ: 2.0803, wM: 24.8639)
Epoch[2/50] | Train Batch[80/334] | Time (10 batches): 69.02s | Loss: 10.5456 (wH: 7.6423, wZ: 2.6561, wM: 26.3766)
Epoch[2/50] | Train Batch[90/334] | Time (10 batches): 69.00s | Loss: 10.6600 (wH: 7.7481, wZ: 1.0014, wM: 28.1172)
Epoch[2/50] | Train Batch[100/334] | Time (10 batches): 69.05s | Loss: 10.1715 (wH: 7.7202, wZ: 2.2499, wM: 22.2633)
Epoch[2/50] | Train Batch[110/334] | Time (10 batches): 69.02s | Loss: 9.5902 (wH: 7.5889, wZ: 2.4737, wM: 17.5390)
Epoch[2/50] | Train Batch[120/334] | Time (10 batches): 69.10s | Loss: 9.2115 (wH: 7.3755, wZ: 1.4908, wM: 16.8694)
Epoch[2/50] | Train Batch[130/334] | Time (10 batches): 69.09s | Loss: 10.0508 (wH: 7.5601, wZ: 1.7254, wM: 23.1816)
Epoch[2/50] | Train Batch[140/334] | Time (10 batches): 69.08s | Loss: 10.1699 (wH: 7.9598, wZ: 1.5497, wM: 20.5516)
Epoch[2/50] | Train Batch[150/334] | Time (10 batches): 69.10s | Loss: 10.0613 (wH: 7.8910, wZ: 0.8287, wM: 20.8736)
Epoch[2/50] | Train Batch[160/334] | Time (10 batches): 69.06s | Loss: 10.1978 (wH: 7.4035, wZ: 2.5078, wM: 25.4350)
Epoch[2/50] | Train Batch[170/334] | Time (10 batches): 69.20s | Loss: 9.2082 (wH: 7.1263, wZ: 1.6664, wM: 19.1534)
Epoch[2/50] | Train Batch[180/334] | Time (10 batches): 69.03s | Loss: 9.4806 (wH: 7.3536, wZ: 1.6376, wM: 19.6319)
Epoch[2/50] | Train Batch[190/334] | Time (10 batches): 69.01s | Loss: 10.2712 (wH: 7.3856, wZ: 1.1321, wM: 27.7233)
Epoch[2/50] | Train Batch[200/334] | Time (10 batches): 69.06s | Loss: 9.6778 (wH: 7.3644, wZ: 2.3527, wM: 20.7813)
Epoch[2/50] | Train Batch[210/334] | Time (10 batches): 69.04s | Loss: 9.5606 (wH: 7.2447, wZ: 1.6778, wM: 21.4814)
Epoch[2/50] | Train Batch[220/334] | Time (10 batches): 69.03s | Loss: 9.7238 (wH: 7.0718, wZ: 1.7035, wM: 24.8163)
Epoch[2/50] | Train Batch[230/334] | Time (10 batches): 69.29s | Loss: 9.7797 (wH: 7.3355, wZ: 1.6025, wM: 22.8397)
Epoch[2/50] | Train Batch[240/334] | Time (10 batches): 69.23s | Loss: 10.5859 (wH: 7.4984, wZ: 1.1711, wM: 29.7045)
Epoch[2/50] | Train Batch[250/334] | Time (10 batches): 69.31s | Loss: 9.5253 (wH: 7.5060, wZ: 2.5059, wM: 17.6869)
Epoch[2/50] | Train Batch[260/334] | Time (10 batches): 69.07s | Loss: 9.8537 (wH: 7.2056, wZ: 2.7340, wM: 23.7466)
Epoch[2/50] | Train Batch[270/334] | Time (10 batches): 69.07s | Loss: 9.2143 (wH: 7.3217, wZ: 1.2928, wM: 17.6331)
Epoch[2/50] | Train Batch[280/334] | Time (10 batches): 69.10s | Loss: 9.3422 (wH: 6.9380, wZ: 2.6543, wM: 21.3871)
Epoch[2/50] | Train Batch[290/334] | Time (10 batches): 69.08s | Loss: 9.3632 (wH: 7.0480, wZ: 0.7400, wM: 22.4112)
Epoch[2/50] | Train Batch[300/334] | Time (10 batches): 69.11s | Loss: 9.0728 (wH: 7.0454, wZ: 1.2768, wM: 18.9970)
Epoch[2/50] | Train Batch[310/334] | Time (10 batches): 69.11s | Loss: 8.7959 (wH: 6.8937, wZ: 1.9620, wM: 17.0607)
Epoch[2/50] | Train Batch[320/334] | Time (10 batches): 69.13s | Loss: 9.0608 (wH: 6.8957, wZ: 1.7084, wM: 19.9427)
Epoch[2/50] | Train Batch[330/334] | Time (10 batches): 69.08s | Loss: 9.3044 (wH: 6.9787, wZ: 1.5748, wM: 21.6825)
=== Epoch 2 Completed in 2878.6s | Sigma: 12.18 ===
Train - wHeatmap: 7.4649 | wZ-Depth: 1.9447 | wMag: 21.0080
Val   - wHeatmap: 6.9166 | wZ-Depth: 1.4837 | wMag: 19.4690 ✓[Checkpoint Saved]
➔ PHYSICAL SCRUTINY: Missed CoM by 9.29 internal pixels -> ~55.7 pixels on ACTUAL 384x384 video.

Epoch[3/50] | Train Batch[0/334] | Time (1st batch): 6.93s | Loss: 8.5543 (wH: 6.5322, wZ: 1.4631, wM: 18.7584)
